traj_idx	step_idx	n_tokens	mean_nll
7	6	14	2.185202326093401
7	7	151	2.1231123564259105
7	8	284	1.896789980606294
7	9	90	1.0593699137369792
8	0	213	3.718012420224472
8	1	202	2.2242244304996905
8	2	14	2.5452592032296315
8	3	145	2.1984644396551722
8	4	14	2.532966341291155
8	5	215	1.5301590320675873
8	6	14	2.1702398572649275
8	7	117	1.1439428084935896
8	8	14	2.1277145658220564
8	9	114	0.8690636618095532
8	10	14	1.921083859034947
8	11	117	0.616179441794371
8	12	14	1.8828269413539342
8	13	117	0.6326927771935096
8	14	14	1.8609865733555384
8	15	119	0.8728156851119354
8	16	14	1.8104658126831055
8	17	133	1.155680032601034
8	18	14	1.9224004745483398
8	19	122	0.5068626403808594
8	20	13	2.3227462768554688
8	21	159	1.8328784486782626
8	22	212	2.4684425210053065
8	23	110	1.261623035777699
9	0	210	3.8349190848214287
9	1	179	2.354129556837029
9	2	13	2.4344723041240988
9	3	341	1.5781432568502567
9	4	13	2.4966888427734375
9	5	495	2.3758034446022727
9	6	13	1.8775853377122145
9	7	329	1.5971171370393238
9	8	13	1.9930973052978516
9	9	225	1.3710432942708333
9	10	299	2.4137628357545986
9	11	74	2.83184628873258
10	0	216	3.807871218080874
10	1	208	2.0237752474271336
10	2	14	2.4786477770124162
10	3	135	2.6326108579282406
10	4	14	2.486781529017857
10	5	243	1.4635660304944702
10	6	14	2.0424744742257253
10	7	308	0.7094758269074676
10	8	14	2.093842097691127
10	9	187	0.9314123143486798
10	10	12	2.6409292221069336
10	11	210	1.597628202892485
10	12	295	2.5829552601959747
10	13	351	2.266601214721332
11	0	210	3.8349190848214287
11	1	155	2.2208318894909276
11	2	13	2.5980870173527646
11	3	144	2.1426213582356772
11	4	13	2.4465333498441257
11	5	294	1.6570997173283375
11	6	13	2.3492992107684794
11	7	326	1.3446921132093559
11	8	13	2.211650554950421
11	9	365	1.234485866598887
11	10	373	2.3264903050645107
11	11	73	2.5860390859107447
12	0	229	4.257631526763783
12	1	14	2.3756021772112166
12	2	225	3.0779136827256943
12	3	14	2.6098504747663225
12	4	182	1.139635526216947
12	5	14	2.0927683966500417
12	6	146	1.3493071255618578
12	7	14	2.146442140851702
12	8	152	1.2522818916722347
12	9	14	2.1291758673531667
12	10	294	1.7621381071960034
12	11	14	2.0456335885184154
12	12	265	1.5864553775427477
12	13	14	2.0036683763776506
12	14	157	0.5720364515948447
12	15	14	1.9205680574689592
12	16	255	0.6948538387522978
12	17	12	2.3963255882263184
12	18	312	1.8644598936423278
12	19	332	2.329259481774755
12	20	72	3.045028898451063
13	0	233	4.356557690534469
13	1	13	2.76553462101863
13	2	401	1.76727918972101
13	3	12	2.2606959342956543
13	4	75	1.5410673014322918
13	5	400	1.2858294677734374
13	6	84	0.8809173220679873
14	0	245	4.020013552295918
14	1	222	2.6625764863985077
14	2	14	2.9098363603864397
14	3	124	1.9265564949281755
14	4	14	2.4420264107840404
14	5	237	1.779771249505538
14	6	14	2.142540522984096
14	7	133	1.8396178510852326
14	8	12	2.7107165654500327
14	9	11	4.86657090620561
14	10	266	1.7863667423563792
14	11	60	1.5866816202799479
15	0	234	4.149141751802885
15	1	14	2.3442955017089844
15	2	164	2.578451575302496
15	3	14	2.328217097691127
15	4	235	2.0167368787400264
15	5	14	1.9992677143641882
15	6	200	1.4091696166992187
15	7	14	1.811349323817662
15	8	272	1.8205481136546415
15	9	14	1.7534843172345842
15	10	205	1.745261290015244
15	11	14	1.8299638203212194
15	12	197	1.4558887772148636
15	13	14	1.7965963908604212
15	14	256	1.4368634223937988
15	15	12	2.1594529151916504
15	16	317	1.6180984063855481
15	17	391	2.30152740868766
15	18	329	2.16035994787709
16	0	238	3.879337086397059
16	1	490	1.9748689612563775
16	2	13	3.02226316011869
16	3	65	1.08622072660006
16	4	232	1.9865451681202855
16	5	75	0.9908279418945313
17	0	234	4.465521918402778
17	1	14	2.349657876150949
17	2	431	2.4622074844112527
17	3	14	2.4005331311907088
17	4	518	1.2943015080161075
17	5	14	2.313879830496652
17	6	241	1.4434814453125
17	7	14	2.246959686279297
17	8	305	1.316840099897541
17	9	12	2.431199232737223
17	10	233	1.1758181854379024
17	11	14	2.232942581176758
17	12	366	1.9760888938695356
17	13	12	2.253211816151937
17	14	231	0.32044764927455355
17	15	12	2.3031083742777505
17	16	271	0.3173522386163803
17	17	14	2.157425744192941
17	18	415	1.1381388836596384
17	19	12	2.1781983375549316
17	20	231	0.22008940461394075
17	21	12	2.380677858988444
17	22	271	0.18280237627205373
17	23	14	2.1424083709716797
17	24	254	1.0508035975178396
17	25	14	2.1632938385009766
17	26	155	1.7448246125252016
17	27	14	2.1054416384015764
17	28	362	0.7973422898772013
17	29	12	2.5053512255350747
17	30	231	0.21112342933555703
17	31	14	2.2133284977504184
17	32	333	1.2291487043684308
17	33	14	2.277524675641741
17	34	134	0.7718788830202017
17	35	12	2.3755318323771157
17	36	231	0.20064154951087323
17	37	14	2.1661886487688338
17	38	333	0.1409947850682714
17	39	12	2.326045354207357
17	40	231	0.1864241562880479
17	41	454	2.257214516795154
17	42	279	1.2732263927391354
18	0	241	3.9952896561365403
18	1	14	2.4817292349679128
18	2	126	2.7057047041635665
18	3	14	2.4507874080113004
18	4	191	1.7112327695517016
18	5	14	2.007399150303432
18	6	168	1.7743501209077381
18	7	14	2.0163466589791432
18	8	143	1.350877668474104
18	9	14	1.9753999710083008
18	10	139	2.3879521870784624
18	11	235	2.0287950880984043
18	12	84	1.1034504118419828
19	0	229	4.257631526763783
19	1	14	2.3756021772112166
19	2	183	2.717381711866035
19	3	14	2.449863706316267
19	4	153	1.2504782084546058
19	5	14	2.2503645760672435
19	6	249	1.3987294392413403
19	7	14	2.150374276297433
19	8	149	1.3275252988674497
19	9	14	1.9858732223510742
19	10	149	1.5117394364120176
19	11	14	2.067359243120466
19	12	193	1.1921283939341807
19	13	14	2.1603343146187917
19	14	142	1.185244063256492
19	15	14	2.146519115992955
19	16	98	2.08719557158801
19	17	384	2.213997999827067
19	18	148	2.1627795245196366
20	0	245	4.020013552295918
20	1	14	2.4984354291643416
20	2	164	2.8017362268959602
20	3	14	2.4759363446916853
20	4	227	1.7661487730589207
20	5	14	2.124255452837263
20	6	184	1.6433689283288044
20	7	14	2.122863224574498
20	8	215	1.9932736418968022
20	9	14	2.034306117466518
20	10	215	0.2513386925985647
20	11	14	2.183333533150809
20	12	215	0.21423535014307776
20	13	14	2.1274073464529857
20	14	215	0.20093440565952034
20	15	14	2.09174074445452
20	16	215	0.19684237103129543
20	17	14	2.0414299283708846
20	18	215	0.1929315256517987
20	19	14	2.021533284868513
20	20	215	0.18626496071039245
20	21	14	2.0619629451206754
20	22	215	0.189373779296875
20	23	14	2.122697421482631
20	24	215	0.1863626347031704
20	25	14	2.149740355355399
20	26	215	0.18611317124477653
20	27	14	2.1473821912493025
20	28	215	0.1813098996184593
20	29	14	2.2142726353236606
20	30	215	0.19077457161836847
20	31	14	2.330162593296596
20	32	215	0.1825494455736737
20	33	14	2.2897537776402066
20	34	215	0.18063943552416425
20	35	14	2.208792413984026
20	36	215	0.17891345356785973
20	37	14	2.290412357875279
20	38	215	0.177740478515625
20	39	14	2.1026111330304826
20	40	215	0.17724151611328126
20	41	14	2.253519058227539
20	42	215	0.17854653291924055
20	43	14	2.108999388558524
20	44	215	0.17043669944585757
20	45	14	2.1248062678745816
20	46	215	0.17702326220135356
20	47	14	2.0972093854631697
20	48	215	0.17807934783225834
20	49	14	2.1561677115304128
20	50	215	0.1783905029296875
20	51	14	2.2510170255388533
20	52	215	0.17390507542809774
20	53	14	2.2425204685756137
20	54	215	0.17424376731695132
20	55	445	2.6015246444873594
20	56	275	1.4730384410511363
21	0	229	4.257631526763783
21	1	186	2.596479682512181
21	2	14	2.542799540928432
21	3	251	1.665954833011703
21	4	14	2.44085202898298
21	5	159	1.5786776752591882
21	6	14	2.218472480773926
21	7	198	2.0816792189472855
21	8	14	2.1699598857334683
21	9	204	1.657992493872549
21	10	14	2.03829220363072
