traj_idx	step_idx	n_tokens	mean_nll
1	1	899	2.8645320972956063
1	2	225	2.165510525173611
1	3	40	1.621589469909668
1	4	1012	3.4584669030230977
1	5	280	1.5055934361049108
1	6	72	0.5014265908135308
1	7	17	2.5763531853170956
1	8	487	2.273758341889117
1	9	266	1.1558588931435032
1	10	51	0.5493523092830882
1	11	17	1.8038404128130745
1	12	235	3.8267006732047872
1	13	266	2.0266859011542526
1	14	64	0.5241917371749878
1	15	17	1.9130693323471968
1	16	452	1.6387731501486449
1	17	281	1.5219101006450177
1	18	75	0.39590744018554686
1	19	17	1.7359344258027918
1	20	97	1.399773037310728
1	21	291	1.3384827289384664
1	22	53	0.6157641860674012
1	23	17	1.9484701717601103
1	24	243	2.617413807307742
1	25	309	1.3089133450900081
1	26	72	0.40635259946187335
1	27	17	1.8786402309642118
1	28	1417	1.5186258449298695
2	1	662	3.0199631059998113
2	2	270	1.9746437355324074
2	3	61	1.1001154164798925
2	4	901	3.7071111850548
2	5	266	1.2365415185914004
2	6	53	0.5833541582215507
2	7	17	2.7830330343807446
2	8	261	1.2964754652702946
2	9	70	0.5057601928710938
2	10	17	2.0001328412224266
2	11	892	2.4696718224495515
2	12	297	1.4184723414154568
2	13	74	0.37061804694098394
2	14	17	1.7043443567612593
2	15	130	0.7482007540189303
2	16	285	1.2741830926192435
2	17	61	0.4884941538826364
2	18	17	1.7876450033748852
2	19	147	1.8180494243595875
2	20	258	1.0778053934259932
2	21	58	0.5019087627016264
2	22	17	1.7842743817497702
2	23	223	2.435011243606362
2	24	251	1.2698170939289717
2	25	50	0.5481359100341797
2	26	17	1.7371733048382927
2	27	160	1.690167236328125
2	28	278	1.1751577253821943
2	29	48	0.5581082503000895
2	30	17	1.6576343985164868
2	31	977	1.8537954996161718
2	32	245	1.4380034777582908
2	33	47	0.6215789876085647
2	34	17	1.876800537109375
2	35	1780	2.0563307858584974
2	36	276	1.4920908610026042
2	37	159	2.79676886024715
2	38	1097	2.212851295714609
2	39	254	1.095149963859498
