model	subset	seed	position	c_begin	c_end	strategy	layer_range	gamma	w	step_acc_val@1	agent_acc_val@1	step_acc_val@3	agent_acc_val@3	step_acc_test@1	agent_acc_test@1	step_acc_test@3	agent_acc_test@3
qwen3.5-9b	captain	15	act/3	4	11	backprop	0-2	0.4	2	0.17647058823529413	0.7647058823529411	0.4117647058823529	0.9411764705882353	0.3953488372093023	0.7441860465116279	0.5813953488372093	0.9069767441860465
qwen3.5-9b	captain	14	act/3	4	13	base	-	0.0	-	0.0	0.5882352941176471	0.23529411764705882	0.7647058823529411	0.37209302325581395	0.7906976744186046	0.5116279069767442	0.9302325581395349
qwen3.5-9b	captain	15	act/3	4	11	backprop	0-2	0.6	2	0.17647058823529413	0.7647058823529411	0.4117647058823529	0.9411764705882353	0.37209302325581395	0.7209302325581395	0.5581395348837209	0.9069767441860465
qwen3.5-9b	captain	16	act/3	4	11	backprop	0-2	0.4	4	0.29411764705882354	0.5294117647058824	0.5882352941176471	0.8235294117647058	0.37209302325581395	0.7209302325581395	0.4418604651162791	0.8604651162790697
qwen3.5-9b	captain	14	act/3	4	11	backprop	0-2	0.4	1	0.058823529411764705	0.5882352941176471	0.29411764705882354	0.7647058823529411	0.3488372093023256	0.7441860465116279	0.5581395348837209	0.9534883720930233
qwen3.5-9b	captain	14	act/3	4	11	succ-near	0-2	0.8	3	0.058823529411764705	0.4117647058823529	0.29411764705882354	0.7647058823529411	0.3488372093023256	0.7209302325581395	0.5116279069767442	0.9069767441860465
qwen3.5-9b	captain	14	act/3	4	11	backprop	0-2	0.8	4	0.058823529411764705	0.47058823529411764	0.4117647058823529	0.7647058823529411	0.3488372093023256	0.7209302325581395	0.5813953488372093	0.9767441860465116
qwen3.5-9b	captain	14	act/3	4	11	succ-near	6-8	0.6	2	0.058823529411764705	0.5882352941176471	0.29411764705882354	0.7647058823529411	0.3488372093023256	0.7674418604651163	0.5116279069767442	0.9302325581395349
qwen3.5-9b	captain	14	act/3	4	11	backprop	6-8	0.6	3	0.11764705882352941	0.5294117647058824	0.4117647058823529	0.8235294117647058	0.3488372093023256	0.7209302325581395	0.5813953488372093	0.9534883720930233
qwen3.5-9b	captain	15	act/3	4	11	backprop	0-2	0.4	1	0.17647058823529413	0.7058823529411765	0.4117647058823529	0.8823529411764706	0.3488372093023256	0.6976744186046512	0.5581395348837209	0.9069767441860465
qwen3.5-9b	captain	15	act/3	4	11	backprop	0-2	0.8	3	0.17647058823529413	0.7058823529411765	0.4117647058823529	0.9411764705882353	0.3488372093023256	0.6511627906976745	0.5581395348837209	0.9069767441860465
qwen3.5-9b	captain	15	act/3	4	11	backprop	2-4	0.4	2	0.23529411764705882	0.7058823529411765	0.4117647058823529	0.8823529411764706	0.3488372093023256	0.6976744186046512	0.5813953488372093	0.9069767441860465
qwen3.5-9b	captain	15	act/3	4	11	backprop	2-4	0.6	2	0.23529411764705882	0.7058823529411765	0.4117647058823529	0.8823529411764706	0.3488372093023256	0.6976744186046512	0.5813953488372093	0.9069767441860465
