model	subset	seed	position	c_begin	c_end	strategy	layer_range	gamma	w	step_acc_val@1	agent_acc_val@1	step_acc_val@3	agent_acc_val@3	step_acc_test@1	agent_acc_test@1	step_acc_test@3	agent_acc_test@3
qwen3.5-9b	arc	18	embed	1	3	succ-strong	6-8	0.1	all	0.7704918032786885	0.8852459016393442	0.8360655737704918	0.8852459016393442	0.8486842105263158	0.881578947368421	0.881578947368421	0.9144736842105263
qwen3.5-9b	arc	18	embed	1	3	succ-near	6-8	0.1	all	0.7704918032786885	0.8852459016393442	0.8360655737704918	0.8852459016393442	0.8486842105263158	0.881578947368421	0.881578947368421	0.9144736842105263
qwen3.5-9b	arc	18	act/11	1	4	base	-	0.0	-	0.6885245901639344	0.8524590163934426	0.7868852459016393	0.8688524590163934	0.8421052631578947	0.9144736842105263	0.9013157894736842	0.9144736842105263
qwen3.5-9b	arc	18	act/15	1	3	base	-	0.0	-	0.7213114754098361	0.8688524590163934	0.8360655737704918	0.8852459016393442	0.8421052631578947	0.9144736842105263	0.9013157894736842	0.9210526315789473
qwen3.5-9b	arc	18	act/3	0	2	base	-	0.0	-	0.7540983606557377	0.8524590163934426	0.8360655737704918	0.8688524590163934	0.8421052631578947	0.8947368421052632	0.8881578947368421	0.9144736842105263
qwen3.5-9b	arc	18	act/3	0	3	base	-	0.0	-	0.7540983606557377	0.8524590163934426	0.8360655737704918	0.8688524590163934	0.8421052631578947	0.8947368421052632	0.8881578947368421	0.9144736842105263
qwen3.5-9b	arc	18	act/3	0	7	base	-	0.0	-	0.7540983606557377	0.8524590163934426	0.8360655737704918	0.8688524590163934	0.8421052631578947	0.8947368421052632	0.8881578947368421	0.9144736842105263
qwen3.5-9b	arc	18	act/3	0	8	base	-	0.0	-	0.7540983606557377	0.8524590163934426	0.8360655737704918	0.8688524590163934	0.8421052631578947	0.8947368421052632	0.8881578947368421	0.9144736842105263
qwen3.5-9b	arc	18	act/3	0	9	base	-	0.0	-	0.7377049180327869	0.8524590163934426	0.8360655737704918	0.8688524590163934	0.8421052631578947	0.8947368421052632	0.8881578947368421	0.9144736842105263
qwen3.5-9b	arc	18	act/3	0	10	base	-	0.0	-	0.7377049180327869	0.8524590163934426	0.8360655737704918	0.8688524590163934	0.8421052631578947	0.8947368421052632	0.8881578947368421	0.9144736842105263
qwen3.5-9b	arc	18	act/3	0	11	base	-	0.0	-	0.7377049180327869	0.8524590163934426	0.8360655737704918	0.8688524590163934	0.8421052631578947	0.8947368421052632	0.8881578947368421	0.9144736842105263
qwen3.5-9b	arc	18	act/3	0	12	base	-	0.0	-	0.7377049180327869	0.8524590163934426	0.8360655737704918	0.8688524590163934	0.8421052631578947	0.8947368421052632	0.8881578947368421	0.9144736842105263
qwen3.5-9b	arc	18	act/3	0	13	base	-	0.0	-	0.7377049180327869	0.8524590163934426	0.8360655737704918	0.8688524590163934	0.8421052631578947	0.8947368421052632	0.8881578947368421	0.9144736842105263
qwen3.5-9b	arc	18	act/3	0	14	base	-	0.0	-	0.7377049180327869	0.8524590163934426	0.8360655737704918	0.8688524590163934	0.8421052631578947	0.8947368421052632	0.8881578947368421	0.9144736842105263
qwen3.5-9b	arc	18	act/3	0	15	base	-	0.0	-	0.7377049180327869	0.8524590163934426	0.8360655737704918	0.8688524590163934	0.8421052631578947	0.8947368421052632	0.8881578947368421	0.9144736842105263
qwen3.5-9b	arc	18	act/3	0	16	base	-	0.0	-	0.7377049180327869	0.8524590163934426	0.8360655737704918	0.8688524590163934	0.8421052631578947	0.8947368421052632	0.8881578947368421	0.9144736842105263
qwen3.5-9b	arc	18	act/3	0	17	base	-	0.0	-	0.7377049180327869	0.8524590163934426	0.8360655737704918	0.8688524590163934	0.8421052631578947	0.8947368421052632	0.8881578947368421	0.9144736842105263
qwen3.5-9b	arc	18	act/3	0	18	base	-	0.0	-	0.7377049180327869	0.8524590163934426	0.8360655737704918	0.8688524590163934	0.8421052631578947	0.8947368421052632	0.8881578947368421	0.9144736842105263
qwen3.5-9b	arc	18	act/3	0	19	base	-	0.0	-	0.7377049180327869	0.8524590163934426	0.8360655737704918	0.8688524590163934	0.8421052631578947	0.8947368421052632	0.8881578947368421	0.9144736842105263
qwen3.5-9b	arc	18	act/3	0	20	base	-	0.0	-	0.7377049180327869	0.8524590163934426	0.8360655737704918	0.8688524590163934	0.8421052631578947	0.8947368421052632	0.8881578947368421	0.9144736842105263
qwen3.5-9b	arc	18	act/3	1	4	base	-	0.0	-	0.7213114754098361	0.8688524590163934	0.8032786885245902	0.8852459016393442	0.8421052631578947	0.9144736842105263	0.8947368421052632	0.9144736842105263
qwen3.5-9b	arc	18	act/3	1	5	base	-	0.0	-	0.7213114754098361	0.8688524590163934	0.7868852459016393	0.8688524590163934	0.8421052631578947	0.9144736842105263	0.8881578947368421	0.9144736842105263
qwen3.5-9b	arc	18	act/3	1	8	base	-	0.0	-	0.6885245901639344	0.8524590163934426	0.7704918032786885	0.8524590163934426	0.8421052631578947	0.9144736842105263	0.881578947368421	0.9144736842105263
qwen3.5-9b	arc	18	act/31_normed	1	2	base	-	0.0	-	0.7377049180327869	0.8524590163934426	0.8032786885245902	0.8688524590163934	0.8421052631578947	0.9078947368421053	0.868421052631579	0.9078947368421053
qwen3.5-9b	arc	18	act/7	1	5	base	-	0.0	-	0.6885245901639344	0.8524590163934426	0.7704918032786885	0.8688524590163934	0.8421052631578947	0.9144736842105263	0.8881578947368421	0.9144736842105263
qwen3.5-9b	arc	18	act/7	1	8	base	-	0.0	-	0.6885245901639344	0.8524590163934426	0.7704918032786885	0.8524590163934426	0.8421052631578947	0.9078947368421053	0.881578947368421	0.9144736842105263
qwen3.5-9b	arc	18	embed	1	3	base	-	0.0	-	0.7540983606557377	0.8852459016393442	0.8360655737704918	0.8852459016393442	0.8421052631578947	0.881578947368421	0.881578947368421	0.9144736842105263
