model	subset	seed	position	c_begin	c_end	strategy	layer_range	gamma	w	step_acc_val@1	agent_acc_val@1	step_acc_val@3	agent_acc_val@3	step_acc_test@1	agent_acc_test@1	step_acc_test@3	agent_acc_test@3
qwen3.5-9b	hand-crafted	14	act/31_normed	0	18	base	-	0.0	-	0.25	0.75	0.25	0.8333333333333334	0.3793103448275862	0.6551724137931034	0.4482758620689655	0.6551724137931034
qwen3.5-9b	hand-crafted	14	act/31_normed	0	19	base	-	0.0	-	0.25	0.6666666666666666	0.25	0.8333333333333334	0.3793103448275862	0.6551724137931034	0.4482758620689655	0.6551724137931034
qwen3.5-9b	hand-crafted	14	act/31_normed	0	20	base	-	0.0	-	0.25	0.75	0.25	0.8333333333333334	0.3793103448275862	0.6551724137931034	0.4482758620689655	0.6551724137931034
qwen3.5-9b	hand-crafted	14	act/31	0	5	backprop	0-2	0.0	1	0.25	0.75	0.3333333333333333	0.9166666666666666	0.3793103448275862	0.6551724137931034	0.4482758620689655	0.6551724137931034
qwen3.5-9b	hand-crafted	14	act/31	0	5	backprop	0-2	0.1	1	0.25	0.75	0.25	0.8333333333333334	0.3793103448275862	0.6551724137931034	0.4482758620689655	0.6551724137931034
qwen3.5-9b	hand-crafted	14	act/31	0	5	succ-strong	0-2	0.0	1	0.25	0.75	0.3333333333333333	0.9166666666666666	0.3793103448275862	0.6551724137931034	0.4482758620689655	0.6551724137931034
qwen3.5-9b	hand-crafted	14	act/31	0	5	succ-near	0-2	0.0	1	0.25	0.75	0.3333333333333333	0.9166666666666666	0.3793103448275862	0.6551724137931034	0.4482758620689655	0.6551724137931034
qwen3.5-9b	hand-crafted	14	act/31	0	5	backprop	0-2	0.0	2	0.25	0.75	0.3333333333333333	0.9166666666666666	0.3793103448275862	0.6551724137931034	0.4482758620689655	0.6551724137931034
qwen3.5-9b	hand-crafted	14	act/31	0	5	backprop	0-2	0.1	2	0.3333333333333333	0.75	0.3333333333333333	0.8333333333333334	0.3793103448275862	0.6551724137931034	0.4482758620689655	0.6551724137931034
qwen3.5-9b	hand-crafted	14	act/31	0	5	succ-strong	0-2	0.0	2	0.25	0.75	0.3333333333333333	0.9166666666666666	0.3793103448275862	0.6551724137931034	0.4482758620689655	0.6551724137931034
qwen3.5-9b	hand-crafted	14	act/31	0	5	succ-near	0-2	0.0	2	0.25	0.75	0.3333333333333333	0.9166666666666666	0.3793103448275862	0.6551724137931034	0.4482758620689655	0.6551724137931034
qwen3.5-9b	hand-crafted	14	act/31	0	5	backprop	0-2	0.0	3	0.25	0.75	0.3333333333333333	0.9166666666666666	0.3793103448275862	0.6551724137931034	0.4482758620689655	0.6551724137931034
qwen3.5-9b	hand-crafted	14	act/31	0	5	succ-strong	0-2	0.0	3	0.25	0.75	0.3333333333333333	0.9166666666666666	0.3793103448275862	0.6551724137931034	0.4482758620689655	0.6551724137931034
qwen3.5-9b	hand-crafted	14	act/31	0	5	succ-near	0-2	0.0	3	0.25	0.75	0.3333333333333333	0.9166666666666666	0.3793103448275862	0.6551724137931034	0.4482758620689655	0.6551724137931034
qwen3.5-9b	hand-crafted	14	act/31	0	5	backprop	0-2	0.0	4	0.25	0.75	0.3333333333333333	0.9166666666666666	0.3793103448275862	0.6551724137931034	0.4482758620689655	0.6551724137931034
qwen3.5-9b	hand-crafted	14	act/31	0	5	succ-strong	0-2	0.0	4	0.25	0.75	0.3333333333333333	0.9166666666666666	0.3793103448275862	0.6551724137931034	0.4482758620689655	0.6551724137931034
qwen3.5-9b	hand-crafted	14	act/31	0	5	succ-near	0-2	0.0	4	0.25	0.75	0.3333333333333333	0.9166666666666666	0.3793103448275862	0.6551724137931034	0.4482758620689655	0.6551724137931034
qwen3.5-9b	hand-crafted	14	act/31	0	5	backprop	0-2	0.0	5	0.25	0.75	0.3333333333333333	0.9166666666666666	0.3793103448275862	0.6551724137931034	0.4482758620689655	0.6551724137931034
qwen3.5-9b	hand-crafted	14	act/31	0	5	succ-strong	0-2	0.0	5	0.25	0.75	0.3333333333333333	0.9166666666666666	0.3793103448275862	0.6551724137931034	0.4482758620689655	0.6551724137931034
qwen3.5-9b	hand-crafted	14	act/31	0	5	succ-near	0-2	0.0	5	0.25	0.75	0.3333333333333333	0.9166666666666666	0.3793103448275862	0.6551724137931034	0.4482758620689655	0.6551724137931034
qwen3.5-9b	hand-crafted	14	act/31	0	5	backprop	0-2	0.0	all	0.25	0.75	0.3333333333333333	0.9166666666666666	0.3793103448275862	0.6551724137931034	0.4482758620689655	0.6551724137931034
qwen3.5-9b	hand-crafted	14	act/31	0	5	succ-strong	0-2	0.0	all	0.25	0.75	0.3333333333333333	0.9166666666666666	0.3793103448275862	0.6551724137931034	0.4482758620689655	0.6551724137931034
qwen3.5-9b	hand-crafted	14	act/31	0	5	succ-near	0-2	0.0	all	0.25	0.75	0.3333333333333333	0.9166666666666666	0.3793103448275862	0.6551724137931034	0.4482758620689655	0.6551724137931034
qwen3.5-9b	hand-crafted	14	act/31	0	5	backprop	2-4	0.0	1	0.25	0.75	0.3333333333333333	0.9166666666666666	0.3793103448275862	0.6551724137931034	0.4482758620689655	0.6551724137931034
qwen3.5-9b	hand-crafted	14	act/31	0	5	backprop	2-4	0.1	1	0.25	0.75	0.25	0.8333333333333334	0.3793103448275862	0.6551724137931034	0.4827586206896552	0.6551724137931034
