dataset	model	subset	position	c_begin	c_end	layer_range	w	seed	gamma	step_acc_test	agent_acc_test	step_acc_val	agent_acc_val
ww	qwen3.5-9b	algorithm-generated	act/27	1	7	0-2	1	3	0.0	0.4444444444444444	0.5555555555555556	0.19230769230769232	0.38461538461538464
ww	qwen3.5-9b	algorithm-generated	act/27	1	7	0-2	1	3	0.1	0.4444444444444444	0.5555555555555556	0.23076923076923078	0.4230769230769231
ww	qwen3.5-9b	algorithm-generated	act/27	1	7	0-2	1	3	0.2	0.5079365079365079	0.6190476190476191	0.2692307692307692	0.4230769230769231
ww	qwen3.5-9b	algorithm-generated	act/27	1	7	0-2	1	3	0.3	0.5079365079365079	0.6666666666666666	0.23076923076923078	0.38461538461538464
ww	qwen3.5-9b	algorithm-generated	act/27	1	7	0-2	1	3	0.4	0.5079365079365079	0.6666666666666666	0.23076923076923078	0.38461538461538464
ww	qwen3.5-9b	algorithm-generated	act/27	1	7	0-2	1	3	0.5	0.5079365079365079	0.6825396825396826	0.23076923076923078	0.38461538461538464
ww	qwen3.5-9b	algorithm-generated	act/27	1	7	0-2	1	3	0.6	0.5079365079365079	0.6825396825396826	0.2692307692307692	0.4230769230769231
ww	qwen3.5-9b	algorithm-generated	act/27	1	7	0-2	1	3	0.7	0.49206349206349204	0.6507936507936508	0.2692307692307692	0.4230769230769231
ww	qwen3.5-9b	algorithm-generated	act/27	1	7	0-2	1	3	0.8	0.47619047619047616	0.6190476190476191	0.2692307692307692	0.4230769230769231
ww	qwen3.5-9b	algorithm-generated	act/27	1	7	0-2	1	3	0.9	0.4444444444444444	0.5873015873015873	0.3076923076923077	0.46153846153846156
ww	qwen3.5-9b	algorithm-generated	act/27	1	7	0-2	1	3	1.0	0.42857142857142855	0.5714285714285714	0.2692307692307692	0.4230769230769231
ww	qwen3.5-9b	algorithm-generated	act/27	1	7	0-2	1	4	0.0	0.3968253968253968	0.5396825396825397	0.38461538461538464	0.5
ww	qwen3.5-9b	algorithm-generated	act/27	1	7	0-2	1	4	0.1	0.4126984126984127	0.5396825396825397	0.38461538461538464	0.5
ww	qwen3.5-9b	algorithm-generated	act/27	1	7	0-2	1	4	0.2	0.42857142857142855	0.5396825396825397	0.34615384615384615	0.46153846153846156
ww	qwen3.5-9b	algorithm-generated	act/27	1	7	0-2	1	4	0.3	0.4444444444444444	0.5555555555555556	0.34615384615384615	0.46153846153846156
ww	qwen3.5-9b	algorithm-generated	act/27	1	7	0-2	1	4	0.4	0.4603174603174603	0.5873015873015873	0.38461538461538464	0.5
ww	qwen3.5-9b	algorithm-generated	act/27	1	7	0-2	1	4	0.5	0.4603174603174603	0.5873015873015873	0.38461538461538464	0.5384615384615384
ww	qwen3.5-9b	algorithm-generated	act/27	1	7	0-2	1	4	0.6	0.47619047619047616	0.5714285714285714	0.4230769230769231	0.5769230769230769
ww	qwen3.5-9b	algorithm-generated	act/27	1	7	0-2	1	4	0.7	0.4603174603174603	0.5555555555555556	0.38461538461538464	0.5769230769230769
ww	qwen3.5-9b	algorithm-generated	act/27	1	7	0-2	1	4	0.8	0.4603174603174603	0.5555555555555556	0.38461538461538464	0.5769230769230769
ww	qwen3.5-9b	algorithm-generated	act/27	1	7	0-2	1	4	0.9	0.4603174603174603	0.5555555555555556	0.34615384615384615	0.6153846153846154
ww	qwen3.5-9b	algorithm-generated	act/27	1	7	0-2	1	4	1.0	0.47619047619047616	0.5714285714285714	0.34615384615384615	0.6153846153846154
ww	qwen3.5-9b	algorithm-generated	act/27	1	7	0-2	1	5	0.0	0.3333333333333333	0.47619047619047616	0.5769230769230769	0.6538461538461539
ww	qwen3.5-9b	algorithm-generated	act/27	1	7	0-2	1	5	0.1	0.36507936507936506	0.5079365079365079	0.6153846153846154	0.6923076923076923
ww	qwen3.5-9b	algorithm-generated	act/27	1	7	0-2	1	5	0.2	0.38095238095238093	0.5079365079365079	0.6538461538461539	0.7307692307692307
ww	qwen3.5-9b	algorithm-generated	act/27	1	7	0-2	1	5	0.3	0.38095238095238093	0.5238095238095238	0.6538461538461539	0.7307692307692307
ww	qwen3.5-9b	algorithm-generated	act/27	1	7	0-2	1	5	0.4	0.36507936507936506	0.5238095238095238	0.6538461538461539	0.7307692307692307
ww	qwen3.5-9b	algorithm-generated	act/27	1	7	0-2	1	5	0.5	0.4126984126984127	0.5555555555555556	0.6538461538461539	0.7307692307692307
ww	qwen3.5-9b	algorithm-generated	act/27	1	7	0-2	1	5	0.6	0.4444444444444444	0.5555555555555556	0.6538461538461539	0.7307692307692307
ww	qwen3.5-9b	algorithm-generated	act/27	1	7	0-2	1	5	0.7	0.4603174603174603	0.5714285714285714	0.6538461538461539	0.7307692307692307
ww	qwen3.5-9b	algorithm-generated	act/27	1	7	0-2	1	5	0.8	0.4603174603174603	0.5714285714285714	0.6538461538461539	0.7307692307692307
ww	qwen3.5-9b	algorithm-generated	act/27	1	7	0-2	1	5	0.9	0.4444444444444444	0.5714285714285714	0.6153846153846154	0.7307692307692307
ww	qwen3.5-9b	algorithm-generated	act/27	1	7	0-2	1	5	1.0	0.42857142857142855	0.5555555555555556	0.6153846153846154	0.7307692307692307
ww	qwen3.5-9b	hand-crafted	act/31	0	5	4-6	2	13	0.0	0.3448275862068966	0.6551724137931034	0.16666666666666666	0.5833333333333334
ww	qwen3.5-9b	hand-crafted	act/31	0	5	4-6	2	13	0.1	0.3448275862068966	0.6551724137931034	0.16666666666666666	0.5833333333333334
ww	qwen3.5-9b	hand-crafted	act/31	0	5	4-6	2	13	0.2	0.3103448275862069	0.6551724137931034	0.16666666666666666	0.5833333333333334
ww	qwen3.5-9b	hand-crafted	act/31	0	5	4-6	2	13	0.3	0.27586206896551724	0.6551724137931034	0.16666666666666666	0.5833333333333334
ww	qwen3.5-9b	hand-crafted	act/31	0	5	4-6	2	13	0.4	0.2413793103448276	0.6206896551724138	0.16666666666666666	0.5833333333333334
ww	qwen3.5-9b	hand-crafted	act/31	0	5	4-6	2	13	0.5	0.20689655172413793	0.6206896551724138	0.16666666666666666	0.5833333333333334
ww	qwen3.5-9b	hand-crafted	act/31	0	5	4-6	2	13	0.6	0.1724137931034483	0.5862068965517241	0.08333333333333333	0.5
ww	qwen3.5-9b	hand-crafted	act/31	0	5	4-6	2	13	0.7	0.10344827586206896	0.5517241379310345	0.08333333333333333	0.5
