dataset	model	subset	seeds	position	c_begin	c_end	row	lambda	selected	step_acc_test	agent_acc_test	step_acc_val	agent_acc_val
correct-error	qwen3.5-9b	gaia	17,18,19	ens-mid3	1	4	temporal-z	0.7	False	0.6533333333333333	0.7866666666666666	0.5666666666666667	0.5333333333333333
correct-error	qwen3.5-9b	gaia	17,18,19	ens-mid3	1	4	temporal-z	0.8	False	0.64	0.76	0.5666666666666667	0.5333333333333333
correct-error	qwen3.5-9b	gaia	17,18,19	ens-mid3	1	4	temporal-z	0.9	False	0.6133333333333334	0.76	0.5666666666666667	0.5333333333333333
correct-error	qwen3.5-9b	gaia	17,18,19	ens-mid3	1	4	temporal-z	1.0	False	0.5866666666666667	0.76	0.5666666666666667	0.5333333333333333
correct-error	qwen3.5-9b	gaia	17,18,19	ens-mid3	1	4	temporal-raw	0.1	True	0.6933333333333334	0.7866666666666666	0.5333333333333333	0.5333333333333333
correct-error	qwen3.5-9b	gaia	17,18,19	ens-mid3	1	4	temporal-raw	0.2	False	0.6666666666666666	0.7866666666666666	0.5666666666666667	0.5333333333333333
correct-error	qwen3.5-9b	gaia	17,18,19	ens-mid3	1	4	temporal-raw	0.3	False	0.64	0.7866666666666666	0.5666666666666667	0.5333333333333333
correct-error	qwen3.5-9b	gaia	17,18,19	ens-mid3	1	4	temporal-raw	0.4	False	0.6133333333333333	0.7733333333333333	0.4666666666666667	0.4666666666666667
correct-error	qwen3.5-9b	gaia	17,18,19	ens-mid3	1	4	temporal-raw	0.5	False	0.5866666666666667	0.7466666666666667	0.43333333333333335	0.43333333333333335
correct-error	qwen3.5-9b	gaia	17,18,19	ens-mid3	1	4	temporal-raw	0.6	False	0.5333333333333333	0.7333333333333333	0.43333333333333335	0.43333333333333335
correct-error	qwen3.5-9b	gaia	17,18,19	ens-mid3	1	4	temporal-raw	0.7	False	0.5333333333333333	0.7333333333333333	0.4	0.43333333333333335
correct-error	qwen3.5-9b	gaia	17,18,19	ens-mid3	1	4	temporal-raw	0.8	False	0.49333333333333335	0.72	0.4	0.43333333333333335
correct-error	qwen3.5-9b	gaia	17,18,19	ens-mid3	1	4	temporal-raw	0.9	False	0.49333333333333335	0.72	0.4	0.43333333333333335
correct-error	qwen3.5-9b	gaia	17,18,19	ens-mid3	1	4	temporal-raw	1.0	False	0.4666666666666667	0.7066666666666668	0.4	0.43333333333333335
correct-error	qwen3.5-9b	gaia	17,18,19	ens-mid3	1	4	earliest-top5	0.0	True	0.0	0.37333333333333335	0.0	0.2
correct-error	qwen3.5-9b	gaia	17,18,19	ens-mid3	1	4	soap		True	0.6933333333333334	0.7733333333333334	0.5333333333333333	0.5333333333333333
correct-error	qwen3.5-9b	hotpot	17,18,19	act/15	1	3	base	0.0	True	0.45674740484429066	0.6885813148788926	0.4827586206896552	0.7270114942528736
correct-error	qwen3.5-9b	hotpot	17,18,19	act/15	1	3	temporal-z	0.1	True	0.4555940023068051	0.6862745098039216	0.47701149425287354	0.7241379310344828
correct-error	qwen3.5-9b	hotpot	17,18,19	act/15	1	3	temporal-z	0.2	False	0.4544405997693195	0.685121107266436	0.47413793103448276	0.7270114942528736
correct-error	qwen3.5-9b	hotpot	17,18,19	act/15	1	3	temporal-z	0.3	False	0.45098039215686275	0.685121107266436	0.4683908045977011	0.7183908045977011
correct-error	qwen3.5-9b	hotpot	17,18,19	act/15	1	3	temporal-z	0.4	False	0.45098039215686275	0.6839677047289504	0.4683908045977011	0.7155172413793104
correct-error	qwen3.5-9b	hotpot	17,18,19	act/15	1	3	temporal-z	0.5	False	0.45213379469434833	0.6851211072664359	0.4683908045977011	0.7155172413793104
correct-error	qwen3.5-9b	hotpot	17,18,19	act/15	1	3	temporal-z	0.6	False	0.4463667820069204	0.6851211072664359	0.47126436781609193	0.7212643678160919
correct-error	qwen3.5-9b	hotpot	17,18,19	act/15	1	3	temporal-z	0.7	False	0.4463667820069204	0.6874279123414072	0.46839080459770116	0.7212643678160919
correct-error	qwen3.5-9b	hotpot	17,18,19	act/15	1	3	temporal-z	0.8	False	0.4463667820069204	0.6885813148788927	0.46264367816091956	0.7241379310344827
correct-error	qwen3.5-9b	hotpot	17,18,19	act/15	1	3	temporal-z	0.9	False	0.44521337946943484	0.6874279123414072	0.4568965517241379	0.7270114942528735
correct-error	qwen3.5-9b	hotpot	17,18,19	act/15	1	3	temporal-z	1.0	False	0.44405997693194926	0.6862745098039216	0.4540229885057472	0.7270114942528735
correct-error	qwen3.5-9b	hotpot	17,18,19	act/15	1	3	temporal-raw	0.1	True	0.43829296424452135	0.6839677047289503	0.45114942528735635	0.7298850574712643
correct-error	qwen3.5-9b	hotpot	17,18,19	act/15	1	3	temporal-raw	0.2	False	0.3852364475201845	0.6701268742791234	0.4051724137931034	0.7385057471264367
correct-error	qwen3.5-9b	hotpot	17,18,19	act/15	1	3	temporal-raw	0.3	False	0.3275663206459054	0.6620530565167243	0.32471264367816094	0.7327586206896551
correct-error	qwen3.5-9b	hotpot	17,18,19	act/15	1	3	temporal-raw	0.4	False	0.25259515570934254	0.6597462514417531	0.25287356321839083	0.7270114942528736
correct-error	qwen3.5-9b	hotpot	17,18,19	act/15	1	3	temporal-raw	0.5	False	0.17993079584775085	0.6113033448673587	0.19540229885057472	0.6695402298850575
correct-error	qwen3.5-9b	hotpot	17,18,19	act/15	1	3	temporal-raw	0.6	False	0.14994232987312572	0.5605536332179931	0.15517241379310345	0.5890804597701149
correct-error	qwen3.5-9b	hotpot	17,18,19	act/15	1	3	temporal-raw	0.7	False	0.12918108419838523	0.5144175317185697	0.13218390804597702	0.5344827586206896
correct-error	qwen3.5-9b	hotpot	17,18,19	act/15	1	3	temporal-raw	0.8	False	0.10957324106113032	0.47520184544405997	0.12068965517241378	0.4942528735632184
