with_gt	judge	family	column	step_mean	step_min	step_max	agent_mean	n_runs
False	deepseek-8b	oat	CE	0.5250199852327893	0.5174241444008872	0.5307210931427859	0.6903869794904364	5
False	deepseek-8b	oat	TE-Cap	0.17984496124031008	0.16279069767441862	0.20155038759689922	0.5007751937984496	5
False	deepseek-8b	oat	TE-Mag	0.13043478260869565	0.12318840579710144	0.13768115942028986	0.6391304347826087	5
False	deepseek-8b	oat	WW-AG	0.12698412698412698	0.12169312169312169	0.13227513227513227	0.42328042328042326	5
False	deepseek-8b	oat	WW-HC	0.15862068965517243	0.1149425287356322	0.19540229885057472	0.5632183908045977	5
False	deepseek-8b	stepfinder	CE	0.36908538503244676	0.2741729290013246	0.43405494820601837	0.6728872848104073	5
False	deepseek-8b	stepfinder	TE-Cap	0.14728682170542634	0.046511627906976744	0.2170542635658915	0.4511627906976744	5
False	deepseek-8b	stepfinder	TE-Mag	0.042028985507246375	0.0	0.07246376811594203	0.42608695652173917	5
False	deepseek-8b	stepfinder	WW-AG	0.1894179894179894	0.1111111111111111	0.25396825396825395	0.48994708994708985	5
False	deepseek-8b	stepfinder	WW-HC	0.10804597701149425	0.034482758620689655	0.16091954022988506	0.4114942528735632	5
False	qwen3-embedding-0.6b	stepfinder	CE	0.3275493234205255	0.2426623784673975	0.41070799809230457	0.6170421136008987	5
False	qwen3-embedding-0.6b	stepfinder	TE-Cap	0.17984496124031008	0.14728682170542637	0.20930232558139536	0.49302325581395345	5
False	qwen3-embedding-0.6b	stepfinder	TE-Mag	0.21159420289855074	0.11594202898550725	0.24637681159420288	0.7086956521739131	5
False	qwen3-embedding-0.6b	stepfinder	WW-AG	0.24021164021164018	0.19576719576719573	0.2751322751322751	0.46984126984126984	5
False	qwen3-embedding-0.6b	stepfinder	WW-HC	0.11724137931034484	0.10344827586206896	0.14942528735632185	0.44827586206896547	5
False	qwen3.5-9b	oat	CE	0.5649942154710479	0.5633644778844653	0.5667409377736191	0.7058385600238409	5
False	qwen3.5-9b	oat	TE-Cap	0.15348837209302327	0.13953488372093023	0.17054263565891473	0.4666666666666667	5
False	qwen3.5-9b	oat	TE-Mag	0.18840579710144928	0.17391304347826086	0.19565217391304346	0.6202898550724638	5
False	qwen3.5-9b	oat	WW-AG	0.16719576719576718	0.14814814814814814	0.19047619047619047	0.4052910052910053	5
False	qwen3.5-9b	oat	WW-HC	0.10114942528735633	0.09195402298850575	0.1149425287356322	0.5310344827586206	5
False	qwen3.5-9b	stepfinder	CE	0.3003318809527017	0.11537938792650124	0.4353289531707502	0.6002996163872704	5
False	qwen3.5-9b	stepfinder	TE-Cap	0.18294573643410855	0.11627906976744186	0.2170542635658915	0.4775193798449612	5
False	qwen3.5-9b	stepfinder	TE-Mag	0.06666666666666667	0.043478260869565216	0.09420289855072463	0.5782608695652174	5
False	qwen3.5-9b	stepfinder	WW-AG	0.15873015873015872	0.12698412698412698	0.21164021164021163	0.39259259259259255	5
False	qwen3.5-9b	stepfinder	WW-HC	0.13333333333333336	0.0574712643678161	0.19540229885057472	0.37011494252873567	5
True	deepseek-8b	oat	CE	0.5239322320387483	0.5140751111151928	0.5323510992442185	0.6939179403346595	5
True	deepseek-8b	oat	TE-Cap	0.1813953488372093	0.1550387596899225	0.20155038759689922	0.5178294573643412	5
True	deepseek-8b	oat	TE-Mag	0.13768115942028986	0.12318840579710144	0.16666666666666666	0.6768115942028985	5
True	deepseek-8b	oat	WW-AG	0.20846560846560847	0.19576719576719573	0.2222222222222222	0.46455026455026455	5
True	deepseek-8b	oat	WW-HC	0.17011494252873566	0.14942528735632185	0.1839080459770115	0.5655172413793104	5
True	deepseek-8b	stepfinder	CE	0.24991629546953922	0.160470826445848	0.31217440668785107	0.5587056728007183	5
True	deepseek-8b	stepfinder	TE-Cap	0.15038759689922482	0.031007751937984496	0.2170542635658915	0.4945736434108527	5
True	deepseek-8b	stepfinder	TE-Mag	0.062318840579710155	0.014492753623188406	0.07971014492753624	0.508695652173913	5
True	deepseek-8b	stepfinder	WW-AG	0.1894179894179894	0.13756613756613756	0.22751322751322753	0.4148148148148148	5
True	deepseek-8b	stepfinder	WW-HC	0.09885057471264368	0.034482758620689655	0.13793103448275862	0.40229885057471265	5
True	qwen3-embedding-0.6b	stepfinder	CE	0.3006131770365944	0.21335143218942249	0.38990670020606094	0.5866332791853084	5
True	qwen3-embedding-0.6b	stepfinder	TE-Cap	0.15038759689922482	0.1317829457364341	0.17054263565891473	0.48682170542635655	5
True	qwen3-embedding-0.6b	stepfinder	TE-Mag	0.17246376811594205	0.08695652173913043	0.2246376811594203	0.7144927536231884	5
True	qwen3-embedding-0.6b	stepfinder	WW-AG	0.217989417989418	0.15873015873015872	0.2751322751322751	0.4359788359788359	5
True	qwen3-embedding-0.6b	stepfinder	WW-HC	0.10344827586206895	0.08045977011494253	0.1264367816091954	0.4344827586206897	5
