column	with_gt	judge	method	step_acc	agent_acc	n_subsets	family	train_seed
WW-HC	False	deepseek-8b	oat.s44	0.14942528735632185	0.5747126436781609	1	oat	44
WW-HC	False	deepseek-8b	oat.s45	0.1149425287356322	0.5747126436781609	1	oat	45
WW-HC	False	deepseek-8b	oat.s46	0.1839080459770115	0.5517241379310345	1	oat	46
WW-HC	False	deepseek-8b	stepfinder.s42	0.13793103448275862	0.4252873563218391	1	stepfinder	42
WW-HC	False	deepseek-8b	stepfinder.s43	0.034482758620689655	0.28735632183908044	1	stepfinder	43
WW-HC	False	deepseek-8b	stepfinder.s44	0.06896551724137931	0.367816091954023	1	stepfinder	44
WW-HC	False	deepseek-8b	stepfinder.s45	0.16091954022988506	0.5057471264367815	1	stepfinder	45
WW-HC	False	deepseek-8b	stepfinder.s46	0.13793103448275862	0.471264367816092	1	stepfinder	46
WW-HC	False	qwen3-embedding-0.6b	stepfinder.s42	0.10344827586206896	0.42528735632183906	1	stepfinder	42
WW-HC	False	qwen3-embedding-0.6b	stepfinder.s43	0.10344827586206896	0.4942528735632184	1	stepfinder	43
WW-HC	False	qwen3-embedding-0.6b	stepfinder.s44	0.1264367816091954	0.47126436781609193	1	stepfinder	44
WW-HC	False	qwen3-embedding-0.6b	stepfinder.s45	0.10344827586206896	0.41379310344827586	1	stepfinder	45
WW-HC	False	qwen3-embedding-0.6b	stepfinder.s46	0.14942528735632185	0.43678160919540227	1	stepfinder	46
WW-HC	False	qwen3.5-9b	oat.s42	0.09195402298850575	0.5402298850574713	1	oat	42
WW-HC	False	qwen3.5-9b	oat.s43	0.09195402298850575	0.47126436781609193	1	oat	43
WW-HC	False	qwen3.5-9b	oat.s44	0.1149425287356322	0.5632183908045977	1	oat	44
WW-HC	False	qwen3.5-9b	oat.s45	0.1149425287356322	0.5402298850574713	1	oat	45
WW-HC	False	qwen3.5-9b	oat.s46	0.09195402298850575	0.5402298850574713	1	oat	46
WW-HC	False	qwen3.5-9b	stepfinder.s42	0.16091954022988506	0.3448275862068966	1	stepfinder	42
WW-HC	False	qwen3.5-9b	stepfinder.s43	0.10344827586206896	0.3563218390804597	1	stepfinder	43
WW-HC	False	qwen3.5-9b	stepfinder.s44	0.19540229885057472	0.4597701149425288	1	stepfinder	44
WW-HC	False	qwen3.5-9b	stepfinder.s45	0.0574712643678161	0.3333333333333333	1	stepfinder	45
WW-HC	False	qwen3.5-9b	stepfinder.s46	0.14942528735632185	0.3563218390804597	1	stepfinder	46
WW-HC	True	deepseek-8b	oat.s42	0.1839080459770115	0.5747126436781609	1	oat	42
WW-HC	True	deepseek-8b	oat.s43	0.14942528735632185	0.5632183908045977	1	oat	43
WW-HC	True	deepseek-8b	oat.s44	0.1839080459770115	0.5287356321839081	1	oat	44
WW-HC	True	deepseek-8b	oat.s45	0.16091954022988506	0.6206896551724138	1	oat	45
WW-HC	True	deepseek-8b	oat.s46	0.1724137931034483	0.5402298850574713	1	oat	46
WW-HC	True	deepseek-8b	stepfinder.s42	0.1149425287356322	0.37931034482758624	1	stepfinder	42
WW-HC	True	deepseek-8b	stepfinder.s43	0.034482758620689655	0.28735632183908044	1	stepfinder	43
WW-HC	True	deepseek-8b	stepfinder.s44	0.06896551724137931	0.367816091954023	1	stepfinder	44
WW-HC	True	deepseek-8b	stepfinder.s45	0.13793103448275862	0.4827586206896552	1	stepfinder	45
WW-HC	True	deepseek-8b	stepfinder.s46	0.13793103448275862	0.4942528735632184	1	stepfinder	46
WW-HC	True	qwen3-embedding-0.6b	stepfinder.s42	0.10344827586206896	0.42528735632183906	1	stepfinder	42
